cluster,bridge_age,condition_score,maintenance_priority,future_burden_ratio,aging_rate,fiscal_index,structure_category,bridge_area,emergency_route,overpass,repair_year_normalized,under_river,distance_to_coast_km
0,54.523676880222844,1.9610027855153203,106.93314763231197,44.47690209706836,33.70453723490916,0.5930716242993104,1.1532033426183843,80.8019582172702,1.0,0.0,0.0010129146619397315,0.10863509749303621,3.50520200951581
1,34.520833333333336,1.4077380952380953,48.25297619047619,44.62946312766352,34.41432682195101,0.5863197146562905,1.7797619047619047,213.50684226190475,1.0,0.0,0.0,0.7410714285714286,4.920660749727283
2,63.36388140161725,2.1725067385444743,135.5309973045822,45.11731646226177,41.5103695834786,0.507365193355943,1.137466307277628,64.94537196765499,0.18328840970350405,0.0,0.0019603038470963,0.8409703504043127,10.636562809556683
3,41.06804733727811,1.4881656804733727,60.180473372781066,45.17204053055595,44.41092220533234,0.443047096572987,1.5650887573964498,160.51181360946745,0.5266272189349113,0.0,0.009503317195624887,0.6272189349112426,14.028929055444072
4,65.63333333333334,2.8222222222222224,182.7277777777778,44.274026647800966,35.0570274349276,0.5762725700585623,1.4111111111111112,207.69930555555555,0.48333333333333334,0.0,0.9505050505050505,0.5944444444444444,8.66962408965791
5,52.26984126984127,2.0555555555555554,106.07142857142857,47.77658603825919,34.232436694327895,0.5948596021358667,3.642857142857143,146.30705555555554,0.36507936507936506,0.0,0.006974506974506974,0.5396825396825397,6.914021001278948
6,26.3,1.8571428571428572,52.885714285714286,47.337617868512815,35.02222206870136,0.5663134064379202,2.5,2123.518857142857,0.7142857142857143,0.0,0.12164502164502165,0.05714285714285714,6.5719289625342965
7,56.18032786885246,1.8114754098360655,98.97131147540983,57.32858515949828,32.24294498407995,0.6275973922422541,1.2254098360655739,89.15913524590165,1.0,0.0,0.00273224043715847,0.6024590163934426,16.523944279293467
8,47.26431718061674,1.7665198237885462,86.16740088105728,8.4,44.44795351187468,0.32,1.4933920704845816,179.3965731277533,0.47577092511013214,0.0,0.16913629688960083,0.6035242290748899,3.295528157001458
9,44.08139534883721,2.197674418604651,100.79069767441861,40.4809104071207,35.48331733413607,0.5761068105724697,2.104651162790698,1105.2037558139534,0.6744186046511628,1.0,0.284707540521494,0.12790697674418605,4.673529299572601
10,29.146718146718147,1.6293436293436294,47.7992277992278,60.46663393394911,32.29916449388474,0.6588161864426456,2.1544401544401546,364.2810617760618,0.5752895752895753,0.0,0.0,0.9034749034749034,17.233441574042526
11,57.704188481675395,1.549738219895288,88.76439790575917,58.53407428739696,32.24075257048359,0.6395465564850534,1.1544502617801047,42.4382445026178,0.0,0.0,0.0022211645248294463,0.6884816753926701,17.71877879727612
12,43.4390243902439,1.7073170731707317,77.2439024390244,118.09999999999998,29.702234760859454,0.4000000000000001,1.4146341463414633,126.33951219512196,0.9024390243902439,0.0,0.0672579453067258,0.34146341463414637,1.0642078335934455
13,75.285,2.735,201.845,52.37124885037142,33.37893360492652,0.6141555712769721,1.12,87.60645000000001,0.32,0.0,0.0,0.72,11.462140977092485
14,43.07386363636363,1.9204545454545454,82.48863636363636,49.527082194423905,36.60587563521147,0.5839959039457182,2.3068181818181817,449.83934659090914,0.8522727272727273,0.0,0.8796487603305785,0.8863636363636364,11.930159794348397
15,35.9125,1.34375,46.084375,42.024920852493814,34.926634174026574,0.5726936571453838,1.6875,175.406915625,0.0,0.0,0.0,0.709375,5.067191570199666
16,55.98412698412698,1.507936507936508,83.16402116402116,42.862653400785696,34.462965719218786,0.5806414150772128,1.2486772486772486,141.87833333333333,0.5079365079365079,0.0,0.889690556357223,0.4074074074074074,5.363889718242004
17,54.62765957446808,2.023936170212766,109.43617021276596,47.198004049100994,33.23211578586182,0.6107897064025469,1.1675531914893618,68.19989388297873,0.0,0.0,0.0,0.12234042553191489,3.835057261183008
18,28.166666666666668,2.0,61.25,45.59791592972527,33.11307352331662,0.5989458790237,2.5,8197.050000000001,0.5,0.16666666666666666,0.2272727272727273,0.0,1.3492919611452712
